,tt,date,dt,db,freq,day_or_night,weather,power,band,pos_towers,average_distance
251,1419,20220202,0.06569767441860466,-12.476744186046512,1406.8779069767443,1,0,6.0,20,16,1223.875
255,1140,20220204,0.3177419354838709,-13.413978494623656,1526.1021505376343,1,0,10.0,20,13,1261.6470588235295
256,1135,20220204,0.41527777777777775,-11.208333333333334,1506.736111111111,1,0,10.0,40,22,533.9090909090909
265,1512,20220209,0.03083333333333334,-12.883333333333333,1358.7833333333333,1,0,6.0,40,20,612.65
266,1508,20220209,-0.7642276422764228,-11.325203252032521,1381.0325203252032,1,0,6.0,20,18,1268.7777777777778
269,1819,20220213,0.14502164502164508,-13.437229437229437,1383.125541125541,1,0,9.0,40,21,834.9047619047619
270,1815,20220213,0.10500000000000002,-15.7,1257.35,1,0,9.0,20,1,686.0
274,1031,20220215,0.12187500000000001,-15.15625,1500.65625,1,0,9.0,20,14,1362.142857142857
273,1019,20220215,0.13636363636363635,-13.790909090909091,1400.3181818181818,1,0,9.0,40,18,331.3333333333333
275,1736,20220216,0.10666666666666667,-12.945098039215686,1292.8196078431372,1,0,10.0,40,25,657.8
276,1730,20220216,0.17670250896057346,-10.68100358422939,1413.505376344086,1,0,10.0,20,4,2341.25
277,1714,20220218,0.08038461538461539,-12.207692307692307,1622.8884615384616,1,0,7.0,40,33,698.6969696969697
278,1709,20220218,0.13,-12.046666666666667,1341.18,1,0,7.0,20,5,1611.8
282,1302,20220220,0.0018633540372670768,-12.409937888198758,1353.1024844720496,1,0,7.0,40,24,603.9583333333334
281,1307,20220220,0.1598326359832636,-12.870292887029288,1482.73640167364,1,0,7.0,20,13,1673.4615384615386
286,1645,20220221,0.1326276463262765,-12.555417185554171,1442.5342465753424,1,0,8.0,40,1,818.0
285,1635,20220221,0.1673913043478261,-10.339130434782609,1507.4260869565217,1,0,8.0,20,11,1550.0
289,2230,20220224,0.09999999999999999,-14.639344262295081,1338.0655737704917,0,0,,40,0,
112,1604,20220228,0.2311188811188811,-11.5,1514.8251748251748,1,0,9.0,20,3,1493.6666666666667
111,1610,20220228,0.198134328358209,-12.171641791044776,1254.5485074626865,1,0,9.0,40,24,446.7916666666667
405,1638,20220301,0.30596026490066225,-10.7682119205298,1245.9801324503312,1,0,6.0,20,5,1387.4
404,1643,20220301,0.367601246105919,-12.429906542056075,1387.2959501557632,1,0,6.0,40,9,514.0
407,1119,20220302,0.09038961038961038,-10.958441558441558,1267.4545454545455,1,0,8.0,20,15,1468.9333333333334
406,1130,20220302,-0.2992,-13.376,1265.856,1,0,8.0,40,7,356.0
408,1429,20220306,0.15663716814159295,-13.47787610619469,1357.9203539823009,1,0,10.0,40,18,546.2222222222222
409,1422,20220306,0.13579545454545455,-14.181818181818182,1479.9488636363637,1,0,10.0,20,17,1392.6470588235295
412,1414,20220315,0.10156695156695159,-11.72934472934473,1461.7165242165242,1,0,9.0,40,23,406.4782608695652
413,1351,20220315,0.12264705882352941,-12.151470588235295,1505.3588235294117,1,0,9.0,20,9,1572.4444444444443
504,1100,20220412,0.2775280898876405,-12.5,1311.7191011235955,1,0,7.0,20,6,1351.5
505,1053,20220412,0.013207547169811326,-14.679245283018869,1225.8301886792453,1,0,7.0,40,7,561.5714285714286
6,1104,20220420,0.1759124087591241,-14.708029197080291,1321.7445255474452,1,0,10.0,20,19,1498.7894736842106
7,1220,20220420,-0.004809619238476951,-13.162324649298597,1329.3346693386773,1,0,10.0,40,13,418.9230769230769
18,1817,20220422,0.12459954233409612,-9.95766590389016,1605.6693363844392,1,0,6.0,40,32,456.78125
19,1750,20220422,0.20336134453781518,-12.903361344537815,1325.357142857143,1,0,6.0,20,8,1521.625
20,1008,20220426,0.2294117647058824,-12.697478991596638,1179.5966386554621,1,0,9.0,20,17,1484.4117647058824
21,1002,20220426,0.06641791044776121,-11.067164179104477,1440.7761194029852,1,0,9.0,40,19,436.8421052631579
23,1742,20220428,0.1367875647668394,-14.735751295336788,1394.8497409326426,1,0,9.0,20,7,1831.857142857143
22,1747,20220428,0.13596059113300496,-11.911330049261084,1519.3300492610838,1,0,9.0,40,10,754.0
68,1059,20220502,0.04272727272727273,-12.563636363636364,1573.3,1,0,6.0,20,7,1473.857142857143
67,1107,20220502,0.0679245283018868,-10.88679245283019,1210.754716981132,1,0,6.0,40,7,533.4285714285714
69,856,20220508,-0.01333333333333333,-13.9,1474.7666666666667,1,0,9.0,40,15,603.8
70,900,20220508,0.1317073170731707,-15.926829268292684,1522.719512195122,1,0,9.0,20,6,834.8333333333334
71,1113,20220513,-0.019354838709677424,-14.96774193548387,1614.1935483870968,1,0,6.0,20,1,1624.0
72,1119,20220513,0.2,-19.0,1514.5555555555557,1,0,6.0,40,5,733.0
74,11,20220514,0.21467889908256882,-12.408256880733944,1598.7385321100917,0,0,10.0,40,16,1362.0625
73,1,20220514,0.11632947976878615,-14.735549132947977,1342.2413294797689,0,0,10.0,20,2,1478.0
77,1630,20220517,-0.12794117647058822,-13.073529411764707,1535.735294117647,1,0,8.0,40,23,534.8260869565217
78,1623,20220517,0.07926829268292683,-13.060975609756097,1453.4024390243903,1,0,8.0,20,13,1414.4615384615386
80,1039,20220518,0.13333333333333333,-10.166666666666666,1915.388888888889,1,0,7.0,40,12,552.0
79,1054,20220518,0.42017543859649115,-14.333333333333334,1441.0526315789473,1,0,7.0,20,9,1147.111111111111
81,945,20220525,0.14176072234762982,-13.205417607223476,1474.2167042889391,1,0,6.0,20,21,1841.6666666666667
82,855,20220525,0.03181818181818183,-14.295454545454545,1472.75,1,0,6.0,40,10,398.3
93,1026,20220531,0.2134328358208955,-15.447761194029852,1189.7313432835822,1,0,10.0,20,4,1319.25
94,1015,20220531,-0.0033333333333333253,-16.233333333333334,1628.7666666666667,1,0,10.0,40,13,653.2307692307693
126,1543,20220605,0.16032388663967612,-14.396761133603238,1324.6518218623482,1,0,7.0,20,3,773.6666666666666
125,1548,20220605,-0.08378378378378376,-12.743243243243244,1408.3513513513512,1,0,7.0,40,8,552.375
130,1004,20220608,0.12222222222222223,-14.777777777777779,1462.111111111111,1,0,5.0,40,8,410.875
129,1008,20220608,0.13,-15.48,1239.74,1,0,5.0,20,7,836.4285714285714
132,2159,20220612,0.2006172839506173,-12.851851851851851,1456.1604938271605,0,0,7.0,20,3,1366.3333333333333
131,2203,20220612,0.1679611650485437,-12.475728155339805,1496.9126213592233,0,0,7.0,40,9,840.5555555555555
134,1029,20220615,0.31578947368421045,-14.68421052631579,1364.842105263158,1,0,5.0,40,13,461.53846153846155
133,1034,20220615,0.3362745098039215,-15.166666666666666,1369.1274509803923,1,0,5.0,20,9,1033.5555555555557
146,845,20220629,0.13766233766233765,-15.519480519480519,1543.2857142857142,1,0,5.0,20,6,860.5
145,841,20220629,0.05581395348837209,-16.0,1529.7441860465117,1,0,5.0,40,6,699.8333333333334
244,1525,20220707,0.092,-11.56,1547.28,1,0,8.0,40,11,504.54545454545456
243,1520,20220707,0.3695238095238096,-12.247619047619047,1594.6571428571428,1,0,8.0,20,17,1331.8823529411766
254,1030,20220713,0.1641025641025641,-13.58974358974359,1422.6538461538462,1,0,8.0,20,42,1013.8095238095239
253,1026,20220713,0.19999999999999998,-14.266666666666667,934.6,1,0,8.0,40,14,595.4285714285714
259,1129,20220718,0.031775700934579446,-11.962616822429906,1185.018691588785,1,0,5.0,20,4,1430.5
260,1123,20220718,-0.5499999999999999,-13.666666666666666,1888.8333333333333,1,0,5.0,40,9,581.7777777777778
261,2203,20220719,0.08333333333333333,-18.416666666666668,1395.4166666666667,0,0,,20,0,
262,2207,20220719,0.16851851851851857,-12.564814814814815,1600.2592592592594,0,0,7.0,40,7,1238.2857142857142
264,915,20220720,0.3370370370370371,-17.037037037037038,1576.7037037037037,1,0,8.0,40,14,522.0
263,920,20220720,0.1029761904761905,-13.142857142857142,1404.8095238095239,1,0,8.0,20,26,937.0
267,1155,20220721,-0.0625,-15.125,522.5,1,0,6.0,40,4,437.75
268,1204,20220721,0.11505376344086024,-14.376344086021506,1446.7043010752689,1,0,6.0,20,13,1478.1538461538462
272,1157,20220726,0.09999999999999999,-17.5,1366.5,1,0,5.0,40,6,598.5
271,1203,20220726,-0.029824561403508774,-15.649122807017545,1396.1754385964912,1,0,5.0,20,6,979.1666666666666
291,14,20220731,0.19761904761904758,-17.452380952380953,1389.595238095238,0,0,6.0,20,2,3144.5
290,10,20220731,0.136231884057971,-13.623188405797102,1326.8985507246377,0,0,6.0,40,17,976.1176470588235
388,1454,20220801,0.08636363636363636,-14.085227272727273,1648.5738636363637,1,0,8.0,20,4,803.75
389,1520,20220801,0.07869249394673124,-13.295399515738499,1654.854721549637,1,0,8.0,20,6,1338.6666666666667
390,1554,20220801,-0.14696969696969697,-12.954545454545455,1653.1363636363637,1,0,8.0,40,17,675.1764705882352
391,1724,20220801,-0.010769230769230764,-15.653846153846153,1602.9692307692308,1,0,8.0,40,13,567.6923076923077
392,1503,20220801,-0.3588235294117647,-16.0,1687.8823529411766,1,0,8.0,40,15,623.3333333333334
387,1836,20220801,0.06613333333333335,-12.986666666666666,1479.5226666666667,1,0,8.0,20,13,790.6153846153846
386,1632,20220801,-0.12421052631578947,-13.821052631578947,1692.157894736842,1,0,6.0,40,22,751.6363636363636
393,2209,20220803,0.36269841269841263,-13.857142857142858,1397.4285714285713,0,0,7.0,20,4,1422.0
394,1739,20220803,0.14722222222222225,-13.333333333333334,1765.5416666666667,1,0,5.0,40,5,453.4
395,2300,20220803,0.0779220779220779,-13.87012987012987,1338.7792207792209,0,0,7.0,40,6,919.0
396,1734,20220803,0.21219512195121953,-14.165853658536586,1402.3463414634145,1,0,5.0,20,4,804.25
401,1009,20220804,-0.01935483870967742,-15.774193548387096,1375.3225806451612,1,0,10.0,20,9,2361.0
397,1218,20220804,0.002272727272727286,-15.204545454545455,1825.9318181818182,1,0,5.0,20,6,953.3333333333334
400,1005,20220804,-0.3529411764705882,-12.5,1564.4411764705883,1,0,10.0,40,8,908.125
398,1445,20220804,0.27974683544303797,-11.531645569620252,1466.860759493671,1,0,9.0,20,16,1246.9375
399,1357,20220804,0.025,-10.25,1489.875,1,0,5.0,40,2,552.5
402,954,20220804,-0.8363636363636363,-16.09090909090909,1887.1818181818182,1,0,6.0,40,6,924.1666666666666
403,959,20220804,0.16976744186046513,-12.023255813953488,1365.8372093023256,1,0,6.0,20,12,1748.6666666666667
410,1224,20220818,0.1062992125984252,-15.874015748031496,1471.6299212598426,1,0,9.0,20,5,1257.8
411,1449,20220818,0.052000000000000005,-15.76,1488.52,1,0,9.0,40,14,727.5714285714286
415,1110,20220828,0.14493243243243245,-12.905405405405405,1274.7094594594594,1,0,7.0,20,15,1483.3333333333333
414,1115,20220828,0.15925925925925924,-10.537037037037036,999.8518518518518,1,0,7.0,40,20,435.3
501,1643,20220912,0.18269230769230768,-13.961538461538462,1556.326923076923,1,0,,20,0,
500,1648,20220912,0.16981132075471697,-12.660377358490566,1409.7735849056603,1,0,6.0,40,7,824.0
503,1757,20220921,0.11873479318734795,-11.929440389294404,1397.3114355231144,1,0,8.0,40,28,571.4642857142857
502,1706,20220921,0.19125683060109294,-13.491803278688524,1494.8306010928961,1,0,8.0,20,15,1569.8666666666666
9,1828,20220929,0.2895238095238095,-10.938095238095238,1389.2952380952381,1,0,6.0,20,24,1560.625
8,1833,20220929,0.2821917808219178,-11.537671232876713,1436.109589041096,1,0,6.0,40,9,433.77777777777777
63,1034,20221005,0.09496402877697843,-13.76978417266187,1314.136690647482,1,0,8.0,20,15,1774.0666666666666
64,1018,20221005,0.13,-13.416666666666666,1372.2666666666667,1,0,8.0,40,10,707.3
65,1034,20221007,0.22625,-13.35,1369.9125,1,0,10.0,20,35,1385.3142857142857
66,1038,20221007,0.04166666666666668,-13.375,1365.9166666666667,1,0,10.0,40,18,295.8888888888889
75,1651,20221028,0.023046875,-12.15234375,1501.78125,1,0,6.0,40,18,487.55555555555554
76,1646,20221028,0.1426229508196721,-11.065573770491802,1453.7459016393443,1,0,6.0,20,10,1931.4
119,1050,20221101,0.04516971279373369,-13.18798955613577,1496.0783289817232,1,0,5.0,20,49,1304.530612244898
